Obverse,Reverse,tag
ex-,"1、出、外、由…中弄出
export         出口，输出
exclude        排外，排斥
expose        展出，揭露
excavate       挖出，发掘
exit            出口
exhume       掘出
extract         抽出，拨出
expel          赶出，逐出
2、前任的，以前的
ex-president     前任总统
ex-Nazis        前纳粹分子
ex-mayor       前任市长
ex-chancellor    前任大学校长
ex-premier      前任总理
ex-soldier       退伍军人
ex-wife         前妻
ex-husband     前夫
3、表示“使…”、“做…”、或作加强意义
expurgate       使清洁
exalt            使升高，增高
excruciate      施刑，使苦恼
exaggerate      夸大
",prefix
exo-外、外部,"exobiology      外太空生物学
exogamy        外族通婚
exoskeleton     外骨胳
exosphere      外大气层
",prefix
extra-以外，超过,"extraofficial      职权以外的
extrapoliticial    政治外的，超政治的
extraterritorial   治外法权的
extrasensory     超感觉的
extrajudicial      法庭管辖以外的
extracurriculum   课外的
extra-special     特别优秀的
extraordinary    格外的
extraprofessional 职业以外的
extrasolar       太阳系以外的
",prefix
fore-前、先、预先,"foretell          预言
foresee         预见，先见
forehead        前额
foreword        序言，前言
forearm         前臂
foreknow        先知，预知
foretime         已往，过去
foreground      前景
forefather       前人，祖先
forerun         先驱，前驱
",prefix
hector-百,"hectogram      一百克
hectowatt       一百瓦
hectometer     一百米
hectoampere   一百安培
",prefix
hemi-半,"hemisphere    半球
hemiparasite   半寄生物
hemicycle     半圆形
hemipyramid   半锥面
",prefix
hepta-七（在元音前作hept-）,"heptagon      七角形
heptode       七级管
heptahedron   七面体
heptarchy     七头政治
",prefix
hetero-异,"heteropolar     异极的
heterodoxy     异教，异端
heterosexual    异性的
heteromorphic  异形的
",prefix
hexa-六（在元音前作hex-）,"hexagon       六角形
hexangular     有六角的
hexode        六极管
hexameter     六韵脚诗
",prefix
holo-全,"hologram       全息图
holography     全息照相术
holophone     声音全息记录器
holocrystalline  全结晶的
holophote      全射镜
holhedron     全面体
",prefix
homo-同,"homotype      同型
homopolar     同极的
homosexual    同性恋的
homophone    同音异义词
homocentric    同中心的
homograph     同形异义词
homothermic    同温的
homogeneous  同族的
",prefix
hyper-超过、过多、太甚,"hypermilitant    极度好战的
hyperslow      极慢的
hypersensitive  过敏的
hypersuspicious 过分多疑的
hypersexual     性欲极强的
hyperverbal     说话太多的
hypercriticism   过分批评
hyperactive     活动过度的
hypersonic     特超音速的
hyperacid      胃酸过多的
hypo=下、低、次、少
hyposensitize   减弱…的敏感度
hypodermic     皮下的
hypoglossal    舌下的
hypothermia    体温过低
hypotension    低血压
hypochlorite    次氯酸盐
",prefix
il-（用在l之前）,"1、不、无、非
illegal          非法的
illogical        不合逻辑的
illiterate        不识字的
illimitable       无限的
illocal          位置不定的
illiberal        不大方的
2、加强或引申意义
illustrate        说明，表明
illuminate       照耀
",prefix
"im-（用在b,m,p之前）","1、不、无、非
impossible       不可能的
immemorial      无法追忆的，太古的
imperfect        不完美的
immoral         不道德的
impolite         无表情的
impure          不纯洁的
impassive       无表情的
imbalance       不平衡
impersonal       非个人的
immaterial       非物质的
immovable      不可移动的
impassable      不能通行的
immortal         不朽的，不死的
2、向内、入
import          输入，入口
imprison        投入狱中，监禁
immigrate       移居入境
imbibe          吸入
immission       注入，投入
immerge        没入，浸入
3、加强意义或表示“使成…”、“饰以…”、“加以…”
impulse         冲动
immanacle      加以手铐
impel           驱使，推动
imbrute        使成禽兽一样
imperil         使处于危险
impearl         使成珍珠，饰以珍珠
imparadise      使登天堂
impaste        使成浆糊状
impawn        典当，抵押
impassion      使动感情
",prefix
in-,"1、不、无、非
inglorious       不光彩的
incapable       无能力的
incorrect       不正确的
incomparable    无比的
incomplete      不完全的
insensible      无感觉的
inhuman        不人道的
inartistic        非艺术的
injustice        不公正
informal        非正式的
2、内、入
inside          内部、里面
inbreak        入侵
indoor         户内的
intake          纳入，吸入
inland         内地的，国内的
inbreathe      吸入
inject          投入，注射
inrush        涌入，闯入
3、加强意义，或表示“使…”、“作…”
inspirit        使振作精神
inflame        燃烧
intrench       掘壕沟
intone         发音，呤诵
invigorate     给以勇气，鼓舞
ingraft        接枝
incurve        （使）弯曲
",prefix
infra-下、低,"infrared       红外线（低于红线）
infrastructure  下部结构
infrahuman    低于人类的
infrasonic     低于声频的
infrasound    亚音速
infraorbital     眼眶下的
",prefix
inter-,"1、在...之间、...际
international    国际的
interlay        置于其间
intercontinental 洲际的
interline        写于行间
interoceanic    大洋之间的
interplant      在...间套种
intercity        城市之间
intersexual     两性之间的
interpersonal   人与人之间的
intergroup     团体之间的
2、互相
interchange     互换
interview       会见
interact         相互作用
interweave      混纺，交织
intermix        互混，混杂
interdependence 互相依靠
intercourse     交际
interconnect    使互相连接
",prefix
intra-在内、内部,"intraparty       党内的
intrapersonal   个人内心的
intracity        市内的
intraregional    地区内的
intraday        一天之内的
intracompany    公司内部的
intracollegiate   大学内的
intra-trading     内部贸易
intracloud       云间的
intraoffice       办公室内的
",prefix
intro-向内、入内,"introduce       引入，介绍
introflection     向内弯曲
introspect      内省，反省
intromit         插入
introvision      内省
introvert        内向，内省
",prefix
ir-（有在r之前）,"1、不、无
irregular        不规则的
irresistible      不可抵抗的
irremovable     不可移动的
irrelative       无关系的
irrational       不合理的
irresolute      无决断的
irrealizable     不能实现的
irreligious      无宗教信仰的
2、向人、入
irruption        闯入，冲入
irrigate         灌入水，灌溉
",prefix
iso-等、同,"isogon         等角多角形
isotope        同位素
isoelectric      等电位的
isomorph      同晶形体
isoelectronic    等电子的
isospore       同形孢子
isomagnetic    等磁力的
isotherm       等温线
",prefix
kilo-千,"kilogram       千克，公斤
kilowatt        千瓦（电力）
kilometer      千米，公里
kilocycle      千周
kiloton         千吨
kilovolt        千伏（电压）
kilolitre        千升
kilocalorie      千卡（热量）
",prefix
macro-大、宏、长,"macroclimate    大气候
macroworld     宏观世界
macroeconomics 大经济学
macrocosm     宏观世界
macrochange   大变动
macrostructure  宏观结构
macroplan      庞大的计划
macrophysics    宏观物理学
macroscale      大规模
macrobian       长寿的（人）
macrosociology  大社会学
macropod       长足的（动物）
",prefix
mal-恶、不良、失、不（亦作male-）,"maltreat         虐待
malcontent      不满的
malpractice      不法行为
maldevelopment   不正常发展
malnutrition      营养不良
malposition      位置不正
malformation     畸形
malediction     恶言，诅咒
maladministration  管理不善
malodour        恶臭，恶味
malefaction      坏事，恶行
malfunction      机能失常
",prefix
meta-,"1、超
metaphysical     超自然的，形而上学的
metachemistry    超级化学
metageometrical   超几何学的
metamaterialist    超唯物论者
metaculture      超级文化
2、变化
metamorphosis    变形
metagenesis      世代交替
metachromatism   变色反应
metachrosis       变色机能
",prefix
micro-微,"microscope       显微镜
microbiology      微生物学
microsystem      微型系统
microelement     微量元素
microworld       微观世界
microskirt        超短裙，露股裙
microwave       微波
microbus         微型公共汽车
microprint        缩微印刷品
microcomputer    微型电脑
",prefix
milli-（亦作mill-与mille-）,"1、千分之一、毫
milligram         千分之一克，毫克
millisecond       千分之一秒，毫秒
millimeter        千分之一米，毫米
milliliter          千分之一升，毫升
2、千
millennial         一千年的
millipede         千足虫，多足虫
millepore         千孔虫
milligrade         千度的
",prefix
mini-小,"ministate          小国
minibus           小型公共汽车
minipark          小型公园
miniskirt          超短裙
minitrain          小型列车
minishorts         超短裤
miniwar           小规模战争
minicrisis         短暂危机
minielection       小型选举
miniradio          小收音机
",prefix
mis-误、错、恶、不,"misspell          拼错
mishear          误闻，听错
misread          读错
misremember     记错
misuse           误用，滥用
misdoing         恶行，坏事
misunderstand    误解
mistreat          虐待
mistranslate      错译
misrule          对...施暴政
misstep          失足
mistrust          不信任
mispolicy        失策
misfortune       不幸
",prefix
mono-单一、独（在元音前作mon-）,"monosyllable     单音节词
monatomic       单原子的
monodrama      单人剧
monocycle       独轮脚踏车
monotone       单音，单调
monoplane       单翼飞机
monarch        独裁者
monoxide        一氧化物
",prefix
multi-多,"multiparty       多党的
multi-purpose   多种用途的
multinational    多国的
multidirectional  多向的
multicentric     多中心的
multistorey      多层楼的
multiracial       多种族的
multilingual      多种语言的
multiform       多种形式的
multiheaded     多弹头的
multilateral       多边的
multicoloured    多种色彩的
",prefix
neo-新,"neorealism      新现实主义
neonatal        新生的，初生的
neogamist       新婚者
neocolonialism   新殖民主义
Neolithic         新石器时代的
neoimperialism   新帝国主义
neoimpressionism 新印象派
neofascism      新法西斯主义
",prefix
non-,"1、不
nonsmoker       不抽烟的人
nonaligned       不结盟的
nondrinker       不喝酒的人
nonexistent      不存在的
noncooperation   不合作
nonstop         （车船等）中途不停的，直达的
noncontinuous    不继续的
2、非
nonnatural        非天然的
nonproductive     非生产性的
nonhuman        非人类
nonmetal         非金属
nonwhite         非白种人的
nonconductor     非导体
nonperiodic      非周期性的
nonage         未成年
3、无
noneffective      无效力的
nonpayment      无力支付
nonparty         无党派的
nonsexual       无性别的
nonreader        无阅读能力的人
nonelastic        无弹性的
",prefix
octa-八（亦作octo-与oct-）,"octageon         八角形
octosyllabel      八音节词
October         （古罗马八月）十月
octolateral       八边的
octameter       八韵脚诗
octocentenary   八百周年纪念日
octavalent       （化学）八价的
",prefix
omni-全、总、公、都,"omnipresent      无所不在的
omnipotent       全能的
omnidirectional    全向的
omniform         式样齐全的
omnibus          公共汽车
omnirange        全向导航台
omniparity        一切平等
omniscient       无所不知的
",prefix
out-,"1、胜过、超过
outdo             胜过，战胜
outrun            跑过，追过
outlive            活得比...长
outbrave          以勇胜过
outgo            走得比...远
outact            行动上胜过
outeat            吃得比...多
outnumber        在数量上超过
2、过度，太甚
outsize           过大
outspend         花费过度
outsit            坐得太久
outwear          穿坏，穿破
outdream        做梦太多
outgrow          长得太大
3、外、出
outdoor          户外的
outflow          流出
out-city          市外的，农村的
out-party        在野党
outwork         户外工作
outtell          说出
outhouse       外屋
outrush         冲出
4、除去
outroot         除根
outlaw         夺去法律上的权利
outgas         除去气体
",prefix
over-,"1、过度、太甚
overstudy       用功过度
overpraise      过奖
overtalk        过分多言
overpay        多付（钱款）
overuse        使用过度
overdrink       饮酒过甚
overwork       过度劳累
overproduction  生产过剩
2、在上、在外、从上、越过
overbridge      跨线桥，天桥
oversea(s)      海外的
overcoat        外套，外衣
overleap        跳过
overshoe       套鞋
overlook        俯视
overfly         飞越
3、颠倒、反转
overturn        倾覆，倾倒
overthrow      推翻
overset        翻转，翻倒
",prefix
paleo-古、旧,"paleozoology   古动物学
paleolithic      旧石器时代的
paleobotany    古植物学
paleography    古文书（学）
paleoclimate    史前气候
paleochronology 古年代学
paleoanthropology 古人类学
paleophyte      古生代植物
",prefix
pan-全、泛,"Pan-American    全美洲的，泛美的
pancosmism      泛宇宙论
pantheism       泛神论
Pan-Asianism    泛亚洲主义
pansophic       全知的
pantropical      遍布于热带的
panchromatic    全色的
Pan-African     泛非洲的
",prefix
para-①,"1、半、类似、准
para-party       半政党组织
paramilitary      准军事性的
para-church     准教会
para-academic   半学术性的
para-institution  半官方机构
para-book      类似书籍的刊物
parapolitical     半政治的
parareligious    半宗教性的
pararuminant    类反刍动物
parastatal       半官方的，半政府的
para-governmental 仿政府的
2、辅助、副
paralanguage    辅助语言
paraprofessional  专职人员助手
paralinguistics   辅助语言学
para-police     辅助警察的
parabanking    辅助银行业务
paratyphoid    副伤寒
paralegal       律师的专业助手
paranuclein     副核素
paramedic      医务辅助人员
3、旁、靠近、外
parasite         寄生虫（site食，在他体旁寄食者）
parabiosphere   外生物圈的
para-appendicitis 阑尾旁组织炎
paracentral      靠近中心的
4、错误、伪
parachronism    记时错误
paraphasia      语言错乱
paralogism      不合逻辑的推论
paramnesia     记忆错误
parachromatism 色觉错误
paradox         谬论，邪说
paraselene      幻月，假月
",prefix
para-②防、避开、保护,"parachute       降落伞，用降落伞降落（chute=fall，“保护降落”之意）
[注]para-代替parachute，现已被广泛使用。它表示“空投”、“空降”、“伞投”、“伞兵”、“降落伞”等意义。
parasol          遮阳伞（sol=sun，“防止日晒”之意）
parabomb       伞投炸弹
paradog         伞降犬，空投犬
paratroops      伞兵
parapack        空投包裹
paraoperation    伞兵战
pararescue      伞投人员进行的求援
paramedic      伞兵军医
parakite         飞行降落伞
parashoot       射击敌人伞兵
paraglider       滑翔降落伞
paraspotter      守望伞兵者
parawing        翼状降落伞
",prefix
pen-（=almost）几乎、相近、相似、不完全是、差不多亦作（pene-）,"peninsula       半岛（pen-几乎，相似，insula岛；几乎是一个岛，与一个岛相似，不完全是一个岛→半岛）
penultimate     倒数第二个（pen-几乎，相近，ultimate最后；几乎是最后一个，与最后一个相近，紧挨着最后一个→倒数第二个）
penumbra       半阴影（pen-几乎，umbra影；几乎是一个阴影，不完全是一个阴影→半阴影）
peneplain       近似平原，准平原（受侵蚀作用，几乎成为平原的地带）
",prefix
penta-五（在元音前作pent-）,"pentagon       五角形（the Pentagon五角大楼，美国国防部办公大楼）
pentode        五极管
pentavalent     （化学）五价的
pentangular    有五角的
pentameter     五韵诗
pentagram     五角星形
pentarchy      五头政治
pentatomic     有五原子的
pentoxide      五氧化物
",prefix
per-,"1、贯穿、通、透、遍、自始自终
perspective     透视的（spect看）
perfect         完全的，全然的
pernoctation    通宵不归，彻夜不眠（noct夜）
perennial       全年的（enn年）
perfuse        洒满，灌满（fus流）
perspire       出汗（spir呼吸）
permanent     永久的（man停留）
perform        完成，执行
persist         坚持（sist立）
perorate       （演说时）作结束语
pervade        遍及（vad走）
perambulate    步行穿过（ambul走）
pervious       能被通过的（vi路）
2、加强意义
perplex        使复杂
permute       变换
perturb        扰乱
perfervid       十分热情的
percussion    敲打
persuade      劝说
3、过、高（用于化学名词）
peroxide      过氧化物
peracid       过酸
perchloride    高氯化物
periodide     高碘化物
persulphate    过硫酸盐
permanganate  高锰酸盐
",prefix
peri-周围，外层，靠近,"pericentral     中心周围的
perigee       近地点
perigon       周角、360度角
perihelion     近日点
period        周期（od=way）
perilune      近月点
perimeter     周界，周边
periastron     近星点
periderm      外皮
pericardical    心脏周围的
pricarp        果皮
periarticular   关节周围的
",prefix
poly-多,"polycentric     多中心的
polytechnical   多工艺的
polysyllable    多音节词
polydirectional  多方向的
polyatomic     多原子的
polygon       多角形
polycrystal     多晶体
polyarchy      多头政治
polyfunctional  多功能的
polyclinic       多科医院
",prefix
post-后,"postwar       战后的
postdate      把日期填迟
post-liberation 解放后的
postpone      推后，延期
postgraduate   大学毕业后的，研究生
postmeridian    午后的
posttreatment   治疗期以后的
postoperative   手术以后的
postnatal       诞生后的，产后的
postface       刊后语
",prefix
pre-,"1、前
prewar          战前的
preposition      前置词，介词
pre-liberation    解放前的
prefix           前缀
preschool       学龄前的
predawn        黎明前的
prehistory       史前期
preteen         十三岁以前的孩子
precondition     前提
prehuman       人类以前的
preconference   会议前的
predeparture     出发前的
2、预先
preexamination   预试
prepay          预付
prebuilt         预建的，预制的
prejudge        预先判断
premade        预先做的
preheat         预热（炉灶等）
prechoose      预先选择
precool         预先冷却
predetermine    预定，先定
preocook       预煮
",prefix
pro-,"1、向前，在前
progress        向前进，进步
prospect        向前看，展望
prolong         向前延长
protrude        向前伸出
project         向前投出，射出
promote         促进，提升
prologue        前言，序言
propel          推进
2、代理、代替
pronoun         代名词，代词
procurator       代理人
pro-consul       代理领事
prolocutor       代言人
3、拥护、新、赞成
pro-British        亲英的
pro-Bloshevik     拥护布尔什维克派
pro-American     亲美的
proslavery        赞成奴隶制度的
proabortionist     赞成堕胎者
",prefix
proto-原始,"protogenic        原生的
protocontinent    原始大陆
protohistory       史前时期
protozoolgy       原生动物
prototype         原型
protohuman       早期原始人的
",prefix
pseudo-假（在元音前作pseud-）,"pseudo-democratic 假民主的
pseudoclassic     伪古典的
pseudomyopia     假性近视
pseudoscience     伪科学
pseudopregnancy  假孕
pseudonym        假名，笔名
pseudocrystal      伪晶体
pseudology        谎话
pscudocompound   假化合物
pseudograph       伪书，冒名作品
",prefix
quadri-四（变作quadru，在元音前作quadr-）,"quadrilingual        用四种语言的
quadrangle         四角形
quadricycle         四轮车
quadrisyllable       四音节词
quadrivalent        （化学）四价的
quadripartite       分四部分的
quadrilateral        四边的
quadrennial        四年的
quadruped         四足动物
quadruplane       四翼飞机
",prefix
quasi-类似、准、半,"quasi-judicial       准司法性
quasi-historical     似属历史的
quasi-legislative     准立法性的
quasi-shawl        类似围巾的东西
quasi-official        半官方的
quasi-public        私营公用事业的
quasi-sovereign     半独立的
quasi-war          准战争
quasi—cholera      拟霍乱
quasi-conductor    准导体
",prefix
quinque-五（在元音前用quinqu-）,"quinquesyllabel     五音节词
quinqueangular     五角形的
quinquesection     五等分
quinquevalent      （化学）五价
quinqueliteral       有五字的
quinquennial       每五年的
quinquepqrtite      分五部分的
quinquelateral      有五边的
",prefix
